Simulation,From,To,Flow (TWh),Direction
2040 Simulation 1,GB,NO,90.71,Import
2040 Simulation 1,GB,NL,32.93,Export
2040 Simulation 1,GB,DK,4.66,Export
2040 Simulation 1,NO,DE,43.04,Import
2040 Simulation 1,DE,DK,0.65,Import
2040 Simulation 1,DK,NO,147.47,Export
2040 Simulation 1,NO,DK,3.03,Import
2040 Simulation 1,IE,GB,2.47,Import
2040 Simulation 1,NL,DK,4.79,Import
2040 Simulation 1,GB,BE,7.42,Export
2040 Simulation 1,DE,BE,4.84,Import
2040 Simulation 1,NO,NL,58.1,Import
2040 Simulation 2,GB,NO,90.7,Import
2040 Simulation 2,GB,NL,32.08,Export
2040 Simulation 2,GB,DK,4.67,Export
2040 Simulation 2,NO,DE,43.04,Import
2040 Simulation 2,DE,DK,0.69,Import
2040 Simulation 2,DK,NO,147.47,Export
2040 Simulation 2,NO,DK,3.03,Import
2040 Simulation 2,IE,GB,2.45,Import
2040 Simulation 2,NL,DK,4.77,Import
2040 Simulation 2,GB,BE,8.51,Export
2040 Simulation 2,DE,BE,4.12,Import
2040 Simulation 2,NO,NL,58.1,Import
2040 Simulation 3,GB,NO,90.7,Import
2040 Simulation 3,GB,NL,39.64,Export
2040 Simulation 3,GB,DK,4.89,Export
2040 Simulation 3,NO,DE,43.05,Import
2040 Simulation 3,DE,DK,0.69,Import
2040 Simulation 3,DK,NO,147.46,Export
2040 Simulation 3,NO,DK,3.03,Import
2040 Simulation 3,IE,GB,2.43,Import
2040 Simulation 3,NL,DK,4.71,Import
2040 Simulation 3,GB,BE,0.83,Export
2040 Simulation 3,BE,DE,4.7,Export
2040 Simulation 3,NO,NL,58.1,Import
