Bus 0,Bus 1,line_type,change_category,net_change
BE0 0,BE0 1,AC,Expansion,207.5702065053847
BE0 0,BE0 1,AC,Expansion,138.38033229224857
DE0 0,NL0 15,AC,Reduction,-31.735143116819017
DE0 0,NL0 6,AC,Reduction,-92.83171396362377
DE0 0,NL0 9,AC,Reduction,-26.44930531699356
DK1 0,DK1 1,AC,Reduction,-20.308249818510376
GB2 0,GB2 1,AC,Reduction,-123.92761169899677
GB2 0,GB2 2,AC,Reduction,-143.49695041830273
GB3 0,GB3 2,AC,Expansion,1.5850464305553942
GB3 1,GB3 2,AC,Reduction,-0.8477117526870188
BE0 0,NL0 3,AC,Expansion,237.9650679291426
GB3 2,IE3 0,AC,Reduction,-0.2509470383574808
NL0 0,NL0 16,AC,Reduction,-141.52975698276532
NL0 0,NL0 17,AC,Reduction,-155.8373306236299
NL0 1,NL0 11,AC,Reduction,-1.0693919292516512
NL0 1,NL0 15,AC,Reduction,-2.6347525823093747
NL0 1,NL0 5,AC,Reduction,-1.8343770733931706
NL0 10,NL0 11,AC,Reduction,-14.360686083664405
NL0 10,NL0 17,AC,Reduction,-160.6522085526267
NL0 10,NL0 17,AC,Reduction,-160.6524344983336
BE0 1,NL0 6,AC,Reduction,-83.18462521004858
NL0 12,NL0 6,AC,Reduction,-77.38521545486583
NL0 12,NL0 8,AC,Reduction,-111.36409335403732
NL0 13,NL0 2,AC,Reduction,-67.73812670128973
NL0 13,NL0 9,AC,Reduction,-21.22864284505431
NL0 14,NL0 2,AC,Reduction,-67.73812670128973
NL0 14,NL0 6,AC,Reduction,-133.75494777431686
NL0 15,NL0 5,AC,Reduction,-4.691560738559929
NL0 16,NL0 4,AC,Reduction,-461.5171784392187
NL0 16,NL0 7,AC,Reduction,-127.65007236959354
NL0 17,NL0 7,AC,Reduction,-130.1361921960688
NL0 3,NL0 8,AC,Expansion,269.11876328550534
NL0 4,NL0 8,AC,Reduction,-347.50706287451067
NL0 5,NL0 9,AC,Expansion,6.256921391626747
DE0 0,NL0 13,AC,Reduction,-35.03189999266215
NO5 0,GB2 1,DC,Expansion,22.273027362281937
GB2 2,NL0 4,DC,Reduction,-539.6243097063416
DE0 0,NO7 0,DC,Expansion,0.06542972344414011
DK0 0,NO6 0,DC,Reduction,-0.3662609141720168
DK0 1,DK1 1,DC,Expansion,12.129814416881345
GB3 0,GB2 1,DC,Expansion,2.094056785891098
GB2 2,BE0 0,DC,Expansion,420.58376696902997
BE0 1,DE0 0,DC,Expansion,305.1470501212498
NL0 15,NO4 0,DC,Expansion,4.03604365269166
IE3 0 H2,IE3 0,DC,Reduction,-0.05581043478832726
NO4 0 H2,NO4 0,DC,Expansion,7.53712704458394
NO5 0 H2,NO5 0,DC,Expansion,173.55446681339163
NO6 0 H2,NO6 0,DC,Expansion,4.8107022021504235
NO7 0 H2,NO7 0,DC,Reduction,-0.03850821391824866
