Bus 0,Bus 1,line_type,change_category,net_change
DE0 0,NL0 15,AC,Expansion,9.218728293119057
DE0 0,NL0 6,AC,Expansion,14.647504310478325
DE0 0,NL0 9,AC,Reduction,-21.956714514283703
DK0 0,DK0 1,AC,Expansion,2.421440091285149
GB3 0,GB3 1,AC,Reduction,-0.0731956715137585
GB3 0,GB3 2,AC,Expansion,0.03451454163632661
NL0 0,NL0 16,AC,Reduction,-0.09304334397165803
NL0 0,NL0 17,AC,Reduction,-1.3613928182576274
NL0 1,NL0 11,AC,Expansion,180.4723044090922
NL0 1,NL0 15,AC,Expansion,74.6340340473862
NL0 1,NL0 5,AC,Reduction,-8.526625035917277
NL0 10,NL0 11,AC,Expansion,67.18289793162307
NL0 10,NL0 17,AC,Expansion,2.2669736900452335
NL0 10,NL0 17,AC,Expansion,2.2669768783798645
BE0 1,NL0 6,AC,Expansion,101.51323220748418
NL0 10,NL0 5,AC,Expansion,50.1440216338533
NL0 12,NL0 6,AC,Expansion,45.73430365446711
NL0 12,NL0 8,AC,Expansion,79.72485265169962
NL0 13,NL0 2,AC,Expansion,195.41402032584938
NL0 13,NL0 9,AC,Expansion,28.417899837836558
NL0 14,NL0 2,AC,Expansion,81.59770657963827
NL0 14,NL0 6,AC,Expansion,109.38885875072992
NL0 15,NL0 5,AC,Reduction,-18.539240715625965
NL0 16,NL0 4,AC,Reduction,-15.557014759308913
NL0 16,NL0 7,AC,Reduction,-9.347192462174462
NL0 17,NL0 7,AC,Reduction,-18.065259380847692
NL0 3,NL0 8,AC,Expansion,71.1987435217543
NL0 5,NL0 9,AC,Expansion,3.096682231702289
DE0 0,NL0 13,AC,Expansion,4.10108858915919
NO5 0,GB2 1,DC,Reduction,-0.36492220214950066
GB2 2,NL0 4,DC,Reduction,-34.59573001095896
DE0 0,NO7 0,DC,Expansion,0.4114803211314211
DK0 0,NO6 0,DC,Expansion,1.6950080638989675
GB3 0,GB2 1,DC,Expansion,1.0891538007504096
GB2 2,BE0 0,DC,Expansion,42.396693409430554
NL0 15,NO4 0,DC,Expansion,1.1237783142623812
NO4 0 H2,NO4 0,DC,Expansion,2.143083122123244
NO5 0 H2,NO5 0,DC,Expansion,2.725639012931424
NO6 0 H2,NO6 0,DC,Expansion,2.5117332145619002
NO7 0 H2,NO7 0,DC,Expansion,0.8229606422637517
