Line,Bus0,Bus1,Max Capacity (MW),Avg Line Loading (BASE),Freq Peak Load (BASE),Avg Line Loading (COL),Freq Peak Load (COL),Avg Line Loading (EXCL),Freq Peak Load (EXCL)
22,NL0 0,NL0 16,4348.505497695306,53.09686344052932,2.968036529680365,53.13094869430739,2.9566210045662102,53.14590205040858,2.8995433789954337
23,NL0 0,NL0 17,5039.062518722449,49.13579716098722,2.591324200913242,49.111606767649356,2.2945205479452055,49.17776070100458,2.6255707762557075
24,NL0 1,NL0 11,1513.5873763198401,36.663807414989094,2.4771689497716896,36.58998584884906,2.4657534246575343,32.94947272788056,0.5593607305936072
25,NL0 1,NL0 15,4028.065983545631,52.18466650408485,0.9360730593607305,52.16979630487294,0.9703196347031963,51.41271421196198,0.91324200913242
26,NL0 1,NL0 5,1849.6467899453587,61.731338622483115,1.0844748858447488,61.62715396634633,0.9589041095890412,62.142080104873855,1.4155251141552512
27,NL0 10,NL0 11,2017.6770121798725,40.77573624028698,2.6598173515981736,40.736825891327484,2.7283105022831053,39.570290380714084,0.9474885844748858
28,NL0 10,NL0 17,4599.242305970047,45.57169774166945,3.721461187214612,45.517887557577055,3.767123287671233,45.486740257934436,3.9269406392694064
29,NL0 10,NL0 17,4599.248774471518,45.571697741669446,3.961187214611872,45.51788755757705,3.9726027397260277,45.486740257934436,4.223744292237443
30,NL0 10,NL0 5,7649.694211934863,55.663602666652544,1.221461187214612,55.53166996286648,1.187214611872146,55.13368476451299,1.4155251141552512
31,NL0 12,NL0 6,6165.8018868959925,59.63083632561107,9.600456621004566,59.58833996899041,9.178082191780822,59.086670460905,6.267123287671233
32,NL0 12,NL0 8,6934.154734153468,58.54903225009566,6.598173515981736,58.517732233207795,6.404109589041096,57.94951315545131,3.093607305936073
33,NL0 13,NL0 2,4560.478582485793,50.75181385524334,2.5228310502283104,50.655057647635935,2.4543378995433787,48.23030167572344,0.91324200913242
34,NL0 13,NL0 9,3396.20522348,75.29454964827985,4.06392694063927,75.29995833733526,4.041095890410959,74.57244262260994,4.3493150684931505
35,NL0 14,NL0 2,4087.944735555198,61.57805289106416,9.246575342465754,61.53721005560836,9.04109589041096,60.83025408379255,2.363013698630137
36,NL0 14,NL0 6,4571.024957498374,59.43617068877145,9.509132420091323,59.41174158748953,9.10958904109589,58.73451332584495,2.191780821917808
37,NL0 15,NL0 5,5565.288292176217,62.61647170352217,2.4771689497716896,62.61902867677167,2.4771689497716896,62.97113653558319,2.671232876712329
38,NL0 16,NL0 4,5170.023626725895,64.72200666826467,6.312785388127853,64.73816076720333,6.210045662100456,64.37418380096724,4.863013698630137
39,NL0 16,NL0 7,4487.820493420272,48.16275588458472,2.9566210045662102,48.2034366392848,3.1506849315068495,48.2765937567814,3.287671232876712
40,NL0 16,NL0 8,6792.41044696,36.88310259375724,0.0,36.89215010987583,0.0,36.98664612522648,0.0
41,NL0 17,NL0 7,3698.2404744030136,53.76269457653877,3.732876712328767,53.74695323668954,3.65296803652968,54.21598411247992,3.6986301369863015
42,NL0 3,NL0 8,6971.163630054066,60.601924035711896,15.810502283105023,60.55944264124923,15.605022831050228,60.61701219414787,15.753424657534246
43,NL0 4,NL0 8,3396.20522348,52.03335842512695,1.5981735159817352,51.9795575432639,1.5753424657534247,51.08378029612264,1.5068493150684932
44,NL0 5,NL0 9,9085.23029071827,64.29647114137137,4.805936073059361,64.2906218514033,4.726027397260274,64.27930614890279,5.1255707762557075
